Date,AAPL,AMZN,GOOG,MSFT
2022-04-12,164.27069091796875,150.78750610351562,127.32913208007812,272.8579406738281
2022-04-13,166.95529174804688,155.54100036621094,129.22506713867188,278.236572265625
2022-04-14,161.94857788085938,151.7064971923828,126.21676635742188,270.70068359375
2022-04-18,161.73304748535156,152.78500366210938,126.91899871826172,271.3681945800781
2022-04-19,164.0159149169922,158.11549377441406,129.4680938720703,275.99224853515625
2022-04-20,163.84938049316406,153.9980010986328,127.20118713378906,277.01763916015625
2022-04-21,163.05572509765625,148.29600524902344,123.92012023925781,271.6488037109375
2022-04-22,158.51931762695312,144.35000610351562,118.63997650146484,265.0899658203125
2022-04-25,159.58731079101562,146.07400512695312,122.24636840820312,271.56170654296875
2022-04-26,153.63023376464844,139.39100646972656,118.53284454345703,261.4042053222656
2022-04-27,153.4048309326172,138.16700744628906,114.08387756347656,273.9801330566406
2022-04-28,160.33193969726562,144.59649658203125,118.43910217285156,280.1810607910156
2022-04-29,154.46304321289062,124.28150177001953,114.03031921386719,268.466064453125
2022-05-02,154.7667694091797,124.5,116.2029800415039,275.1893310546875
2022-05-03,156.25604248046875,124.25350189208984,117.16756439208984,272.5871276855469
2022-05-04,162.663818359375,125.92849731445312,121.57685852050781,280.5195617675781
2022-05-05,153.600830078125,116.40699768066406,115.79582977294922,268.3016357421875
2022-05-06,154.326904296875,114.77249908447266,114.71817779541016,265.76708984375
2022-05-09,149.20492553710938,108.78900146484375,112.16313934326172,255.9481658935547
2022-05-10,151.60894775390625,108.85900115966797,113.65143585205078,260.707763671875
2022-05-11,143.7493438720703,105.37200164794922,113.03300476074219,252.04969787597656
2022-05-12,139.88333129882812,106.93049621582031,112.23953247070312,247.0193634033203
2022-05-13,144.347900390625,113.05500030517578,115.56670379638672,252.6011199951172
2022-05-16,142.80734252929688,110.81050109863281,113.85774230957031,252.9687042236328
2022-05-17,146.4378662109375,115.36849975585938,115.75118255615234,258.11517333984375
2022-05-18,138.17596435546875,107.11250305175781,111.4857177734375,246.36328125
2022-05-19,134.77113342285156,107.31900024414062,109.84368896484375,245.45184326171875
2022-05-20,135.00662231445312,107.59100341796875,108.4228515625,244.88943481445312
2022-05-23,140.42295837402344,107.55699920654297,110.75719451904297,252.73374938964844
2022-05-24,137.72462463378906,104.0999984741211,105.06344604492188,251.73500061035156
2022-05-25,137.88162231445312,106.7750015258789,104.9776382446289,254.5469207763672
2022-05-26,141.08038330078125,111.07749938964844,107.41413879394531,257.8242492675781
2022-05-27,146.83038330078125,115.14649963378906,111.88047790527344,264.9413757324219
2022-05-31,146.04537963867188,120.20950317382812,113.1103744506836,263.61297607421875
2022-06-01,145.91781616210938,121.68399810791016,113.20756530761719,264.1463317871094
2022-06-02,148.37091064453125,125.51100158691406,116.78718566894531,266.2406005859375
2022-06-03,142.65036010742188,122.3499984741211,113.631103515625,261.81915283203125
2022-06-06,143.39602661132812,124.79000091552734,116.05766296386719,260.5877685546875
2022-06-07,145.91781616210938,123.0,116.27489471435547,264.223876953125
2022-06-08,145.18191528320312,121.18000030517578,116.2833251953125,262.1972961425781
2022-06-09,139.96182250976562,116.1500015258789,113.98221588134766,256.7480163574219
2022-06-10,134.5552978515625,109.6500015258789,110.52013397216797,245.3063507080078
2022-06-13,129.40386962890625,103.66999816894531,106.0062026977539,234.9022674560547
2022-06-14,130.2672882080078,102.30999755859375,106.32110595703125,237.0645294189453
2022-06-15,132.8871612548828,107.66999816894531,109.49158477783203,244.1137237548828
2022-06-16,127.6180191040039,103.66000366210938,105.76765441894531,237.5299835205078
2022-06-17,129.08985900878906,106.22000122070312,106.98714447021484,240.1285400390625
2022-06-21,133.31890869140625,108.68000030517578,111.10285186767578,246.03359985351562
2022-06-22,132.80870056152344,108.94999694824219,111.12168884277344,245.44212341308594
2022-06-23,135.67384338378906,112.44000244140625,111.76690673828125,250.998046875
2022-06-24,139.00022888183594,116.45999908447266,117.57273864746094,259.569580078125
2022-06-27,139.00022888183594,113.22000122070312,115.6728286743164,256.8450012207031
2022-06-28,134.85943603515625,107.4000015258789,111.65482330322266,248.69039916992188
2022-06-29,136.61578369140625,108.91999816894531,111.3423843383789,252.35560607910156
2022-06-30,134.1529541015625,106.20999908447266,108.48185729980469,249.02976989746094
2022-07-01,136.32142639160156,109.55999755859375,108.1927490234375,251.69619750976562
2022-07-05,138.90208435058594,113.5,112.9595947265625,254.8668975830078
2022-07-06,140.23654174804688,114.33000183105469,114.27530670166016,258.1248779296875
2022-07-07,143.60215759277344,116.33000183105469,118.33448028564453,260.248291015625
2022-07-08,144.27919006347656,115.54000091552734,119.1899642944336,259.53082275390625
2022-07-11,142.14991760253906,111.75,115.57364654541016,256.4765319824219
2022-07-12,143.12136840820312,109.22000122070312,113.91426086425781,245.96572875976562
2022-07-13,142.75830078125,110.4000015258789,111.27344512939453,245.0445556640625
2022-07-14,145.68234252929688,110.62999725341797,110.53253173828125,246.36328125
2022-07-15,147.3504180908203,113.55000305175781,111.84872436523438,248.92306518554688
2022-07-18,144.30862426757812,113.76000213623047,109.01498413085938,246.52813720703125
2022-07-19,148.16485595703125,118.20999908447266,113.6866455078125,251.6477508544922
2022-07-20,150.16653442382812,122.7699966430664,113.76598358154297,254.3045196533203
2022-07-21,152.43319702148438,124.62999725341797,114.10321807861328,256.79644775390625
2022-07-22,151.19683837890625,122.41999816894531,107.47762298583984,252.45249938964844
2022-07-25,150.0782470703125,121.13999938964844,107.3288345336914,250.96902465820312
2022-07-26,148.7535858154297,114.80999755859375,104.58140563964844,244.24948120117188
2022-07-27,153.84608459472656,120.97000122070312,112.67493438720703,260.5779724121094
2022-07-28,154.39559936523438,122.27999877929688,113.6568832397461,268.01513671875
2022-07-29,159.4586944580078,134.9499969482422,115.69020080566406,272.213623046875
2022-08-01,158.4774932861328,135.38999938964844,114.53964233398438,269.5664978027344
